date,lot,measurement,thickness,yield
2026-01-01,LOT1000,9.928,2.486,94.72
2026-01-02,LOT1001,10.484,2.49,91.26
2026-01-03,LOT1002,10.428,2.479,94.46
2026-01-04,LOT1003,10.441,2.519,97.91
2026-01-05,LOT1004,10.823,2.509,93.15
2026-01-06,LOT1005,10.085,2.52,98.28
2026-01-07,LOT1006,10.694,2.491,96.33
2026-01-08,LOT1007,10.009,2.475,96.23
2026-01-09,LOT1008,11.214,2.481,95.94
2026-01-10,LOT1009,10.922,2.563,92.22
2026-01-11,LOT1010,11.08,2.379,88.45
2026-01-12,LOT1011,10.469,2.427,97.19
2026-01-13,LOT1012,11.06,2.402,97.12
2026-01-14,LOT1013,10.161,2.493,94.27
2026-01-15,LOT1014,10.636,2.565,96.6
2026-01-16,LOT1015,10.654,2.552,96.2
2026-01-17,LOT1016,10.052,2.443,93.83
2026-01-18,LOT1017,10.492,2.48,100
2026-01-19,LOT1018,9.703,2.412,96.92
2026-01-20,LOT1019,10.691,2.54,97.09
2026-01-21,LOT1020,10.561,2.492,91.44
2026-01-22,LOT1021,9.453,2.576,91.39
2026-01-23,LOT1022,9.616,2.52,94.21
2026-01-24,LOT1023,9.852,2.546,100
2026-01-25,LOT1024,9.705,2.451,93.6
2026-01-26,LOT1025,8.9,2.576,93.58
2026-01-27,LOT1026,9.222,2.56,93.19
2026-01-28,LOT1027,9.071,2.353,92.29
2026-01-29,LOT1028,8.917,2.533,97.98
2026-01-30,LOT1029,9.197,2.521,95.42
2026-01-31,LOT1030,9.775,2.571,95.68
2026-02-01,LOT1031,8.776,2.572,95.95
2026-02-02,LOT1032,9.963,2.498,99.88
2026-02-03,LOT1033,9.256,2.627,95.29
2026-02-04,LOT1034,9.279,2.41,94.62
2026-02-05,LOT1035,10.364,2.565,96.72
2026-02-06,LOT1036,8.589,2.557,96.39
2026-02-07,LOT1037,9.632,2.45,94.99
2026-02-08,LOT1038,10.903,2.416,93.93
2026-02-09,LOT1039,10.853,2.464,94.09
2026-02-10,LOT1040,10.348,2.401,95.55
2026-02-11,LOT1041,9.813,2.571,95.01
2026-02-12,LOT1042,11.667,2.522,98.41
2026-02-13,LOT1043,9.967,2.49,95.81
2026-02-14,LOT1044,11.567,2.366,97.48
2026-02-15,LOT1045,11.046,2.623,96.78
2026-02-16,LOT1046,10.812,2.458,91.88
2026-02-17,LOT1047,10.898,2.485,100
2026-02-18,LOT1048,10.486,2.526,91.08
2026-02-19,LOT1049,10.563,2.521,97.06
2026-02-20,LOT1050,11.434,2.496,92.21
2026-02-21,LOT1051,10.868,2.541,96.23
2026-02-22,LOT1052,10.2,2.591,95.22
2026-02-23,LOT1053,10.796,2.602,96.52
2026-02-24,LOT1054,10.473,2.672,95.61
2026-02-25,LOT1055,10.056,2.509,98.71
2026-02-26,LOT1056,10.132,2.542,97.99
2026-02-27,LOT1057,9.683,2.362,95.75
2026-02-28,LOT1058,9.923,2.451,97.18
2026-03-01,LOT1059,9.986,2.42,96.3
2026-03-02,LOT1060,9.467,2.381,96.13
2026-03-03,LOT1061,9.437,2.44,96.31
2026-03-04,LOT1062,9.613,2.454,96.0
2026-03-05,LOT1063,9.804,2.443,95.95
2026-03-06,LOT1064,9.244,2.681,90.34
2026-03-07,LOT1065,9.558,2.476,94.75
2026-03-08,LOT1066,10.151,2.499,100
2026-03-09,LOT1067,8.991,2.528,93.77
2026-03-10,LOT1068,8.9,2.505,94.29
2026-03-11,LOT1069,9.401,2.332,100
2026-03-12,LOT1070,9.29,2.639,92.48
2026-03-13,LOT1071,9.611,2.753,92.83
2026-03-14,LOT1072,8.823,2.456,96.18
2026-03-15,LOT1073,10.035,2.603,94.36
2026-03-16,LOT1074,9.014,2.465,98.1
2026-03-17,LOT1075,10.18,2.343,94.91
2026-03-18,LOT1076,10.779,2.67,96.4
2026-03-19,LOT1077,10.366,2.401,92.89
2026-03-20,LOT1078,10.36,2.54,96.45
2026-03-21,LOT1079,10.213,2.408,93.06
2026-03-22,LOT1080,9.977,2.551,89.22
2026-03-23,LOT1081,10.476,2.536,98.81
2026-03-24,LOT1082,10.749,2.58,94.0
2026-03-25,LOT1083,10.391,2.446,98.82
2026-03-26,LOT1084,11.29,2.539,100
2026-03-27,LOT1085,10.783,2.55,95.77
2026-03-28,LOT1086,10.674,2.685,98.77
2026-03-29,LOT1087,10.048,2.468,96.07
2026-03-30,LOT1088,11.082,2.392,89.36
2026-03-31,LOT1089,9.661,2.494,94.74
2026-04-01,LOT1090,10.693,2.438,91.94
2026-04-02,LOT1091,9.401,2.526,95.93
2026-04-03,LOT1092,10.789,2.563,94.52
2026-04-04,LOT1093,10.84,2.489,93.35
2026-04-05,LOT1094,9.773,2.453,89.59
2026-04-06,LOT1095,9.978,2.52,94.09
2026-04-07,LOT1096,9.413,2.53,99.29
2026-04-08,LOT1097,9.665,2.459,93.52
2026-04-09,LOT1098,9.497,2.399,94.69
2026-04-10,LOT1099,9.461,2.648,97.36
2026-04-11,LOT1100,9.862,2.443,96.67
2026-04-12,LOT1101,8.708,2.525,96.05
2026-04-13,LOT1102,8.848,2.66,96.42
2026-04-14,LOT1103,8.254,2.544,93.98
2026-04-15,LOT1104,9.202,2.537,95.98
2026-04-16,LOT1105,8.2,2.407,96.93
2026-04-17,LOT1106,9.91,2.652,99.51
2026-04-18,LOT1107,8.292,2.562,90.21
2026-04-19,LOT1108,10.206,2.52,92.15
2026-04-20,LOT1109,10.5,2.552,90.27
2026-04-21,LOT1110,9.752,2.442,95.28
2026-04-22,LOT1111,9.493,2.61,91.44
2026-04-23,LOT1112,10.013,2.645,92.93
2026-04-24,LOT1113,10.092,2.516,93.28
2026-04-25,LOT1114,10.444,2.508,92.64
2026-04-26,LOT1115,11.13,2.563,94.58
2026-04-27,LOT1116,10.054,2.437,98.08
2026-04-28,LOT1117,10.411,2.537,94.54
2026-04-29,LOT1118,10.892,2.491,96.91
2026-04-30,LOT1119,10.574,2.566,96.68
